source_file,line,text
/Users/frisowempe/ISA_D/QUALITY_SCORECARD.md,9,- Maintainability: 80 — Type-check clean on app; ruff enforced; modular memory router.
/Users/frisowempe/ISA_D/QUALITY_SCORECARD.md,15,- Improve coverage and mutation testing; add perf budgets on hot paths; expand security gates to enforced after stability.
/Users/frisowempe/ISA_D/gemini.md,10,"1.  **Adhere to General Policies**: You must follow all principles, roles (Planner, Builder, Verifier, Critic), and safety mechanisms defined in the primary agent guide: `docs/agents/AGENTS.md`. That document is your foundational set of rules."
/Users/frisowempe/ISA_D/gemini.md,24,"6.  **The Verifier Mandate**: After making changes (e.g., `write_file`, `replace`), you **must** run the `make full-audit` command. You will then read the `Rule Confidence` score from `docs/audit/audit_report.md`. If the score has decreased or is below 90%, you must report it and prioritize fixing the regressions or gaps you introduced before proceeding with new tasks."
/Users/frisowempe/ISA_D/docs/RESEARCH_KNOWLEDGE_GAPS.md,41,"21. CI gating: Advisory→enforced cadence, time budgets, flaky quarantine; pytest‑xdist impact on stability/speed?"
/Users/frisowempe/ISA_D/docs/RESEARCH_KNOWLEDGE_GAPS.md,237,- Determinism likely needs orjson + explicit newline/encoding policies; cross‑OS tests required.
/Users/frisowempe/ISA_D/docs/RESEARCH_KNOWLEDGE_GAPS.md,239,- Polars/DuckDB promising for heavy joins; integration cost must be balanced with maintainability.
/Users/frisowempe/ISA_D/docs/VECTOR_STORE_SCHEMA.md,10,- Changing the embedding model invalidates existing vectors; migrations must be recorded in `docs/CHANGELOG.md` and accompanied by reindexing guidance.
/Users/frisowempe/ISA_D/docs/VECTOR_STORE_SCHEMA.md,21,Each vector entry MUST include the following metadata fields (example JSON schema snippet):
/Users/frisowempe/ISA_D/docs/VECTOR_STORE_SCHEMA.md,37,- Every ingestion run must produce a manifest (JSON) linking `document_id` → source URI → ingestion timestamp → digest of raw document.
/Users/frisowempe/ISA_D/docs/RESEARCH_OPERATIONS.md,16,10) Promotion & Retirement: Promote to PR‑CI only if passing thresholds for 7 consecutive days; periodically review and retire low‑value integrations.
/Users/frisowempe/ISA_D/docs/AI_AGENT_ONBOARDING.md,7,All AI agents *must* internalize and strictly adhere to the core principles and policies outlined in:
/Users/frisowempe/ISA_D/docs/AI_AGENT_ONBOARDING.md,33,"*   The project maintains a comprehensive index of its codebase. Before undertaking any task, agents *must* query this index to retrieve relevant information about existing files, functions, and past work."
/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,17,- Ephemeral branches; auto-merge only if CI fully green.
/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,22,"- Append-only JSONL for events (plan, action, result, reward, memory store/retrieve) via `MemoryEventLogger` (agent/memory/memory_log.jsonl). Snapshot uploaded in CI."
/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,43,- T0: Read-only advice (default).
/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,50,"- When blocked by missing context, the agent researches (search index, docs, code, tests) and continues; only then, if truly ambiguous, request minimal clarification."
/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,59,- Coverage ≥90% core; type errors 0 on target modules; determinism enforced.
