RuleID,Category,Standards,Deviation,Justification,SourceFile,Line,Title
R-c824c150f646,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/COPILOT_DEPLOY.prompt.md,8,- [ ] macOS 14+ or Windows 11+
R-ebe4b2a54e2d,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/COPILOT_DEPLOY.prompt.md,9,- [ ] Python 3.11+
R-24b706e5ba55,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/COPILOT_DEPLOY.prompt.md,10,- [ ] Node.js 20+ and npm
R-a0a4ca4e453a,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/COPILOT_DEPLOY.prompt.md,11,- [ ] `git` command line tools
R-9274fc96aa69,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/COPILOT_DEPLOY.prompt.md,12,- [ ] For macOS: Xcode Command Line Tools (`xcode-select --install`)
R-51f8012e2fcc,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/COPILOT_DEPLOY.prompt.md,13,"- [ ] For macOS: Homebrew (optional, for `make`)"
R-853cbdc2a43e,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/COPILOT_DEPLOY.prompt.md,19,- [ ] **Python** (`ms-python.python`) - Core Python support.
R-27fa521e8ec4,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/COPILOT_DEPLOY.prompt.md,20,- [ ] **Pylance** (`ms-python.vscode-pylance`) - High-performance language serve
R-1734af6d34dc,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/COPILOT_DEPLOY.prompt.md,21,- [ ] **Electron** (`electron-react-devtools.electron-react-devtools`) - Electro
R-526b16b7ed0e,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/COPILOT_DEPLOY.prompt.md,22,- [ ] **Prettier - Code formatter** (`esbenp.prettier-vscode`) - Code formatter.
R-a68719f7c34a,Quality,Testing Pyramid;Deterministic Builds,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/COPILOT_DEPLOY.prompt.md,23,- [ ] **ESLint** (`dbaeumer.vscode-eslint`) - Linter for JavaScript and TypeScri
R-81c6e820ca4b,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/COPILOT_DEPLOY.prompt.md,24,- [ ] **EditorConfig for VS Code** (`EditorConfig.EditorConfig`) - Enforces codi
R-36d8f92e3ea0,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/COPILOT_DEPLOY.prompt.md,25,- [ ] **DotENV** (`mikestead.dotenv`) - Syntax highlighting for `.env` files.
R-7cec8c487ba0,CI/CD,12-Factor: Build/Release/Run;DORA Metrics,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/COPILOT_DEPLOY.prompt.md,37,2.  [ ] Install all required Python dependencies:
R-4fb79d503bb9,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/COPILOT_DEPLOY.prompt.md,61,2.  [ ] The `.env` file should contain placeholders for the required API keys (`
R-3aec99abdfd4,Quality,Testing Pyramid;Deterministic Builds,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/COPILOT_DEPLOY.prompt.md,178,"- [ ] Run the ""Run Tests"" task and confirm that all tests pass."
R-903b50629264,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/COPILOT_DEPLOY.prompt.md,179,"- [ ] Start debugging the ""Python: FastAPI"" launch configuration and confirm tha"
R-a06266268eb4,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/COPILOT_DEPLOY.prompt.md,180,"- [ ] Start debugging the ""Electron: Main"" launch configuration and confirm that"
R-e9a5361163bd,Process,Lean/Agile,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/DEV_SETUP.md,50,6) Verify required environment variables
R-45ba42707f81,Security,OWASP ASVS;OpenSSF Scorecard;SLSA,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/README.md,10,notarization you must add a few repository secrets under Settings → Secrets
R-e88cb78648d4,Docs,Docs-as-code,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/audit_report.md,41,"*   **Description:** The `.env.example` file, which is intended to document all "
R-02545056db61,Security,OWASP ASVS;OpenSSF Scorecard;SLSA,No,,/Users/frisowempe/ISA_D/ISA_SuperApp/GEMINI.md,7,"- You must keep the repo healthy: pass tests, maintain docs, respect directory p"
