bms_id,attribute_name,definition,data_type,code_list,class_name,module,layer,cardinality,min_length,max_length,unit_of_measure,status,required,notes,sectors
GDD Name,,Business name,,Associated Code List Name in GDM,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
dataRecipient,,Authorised Receiver of Product Information GLN (Global Location Number),,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
isTradeItemABaseUnit,,Base Unit Indicator,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
isTradeItemAConsumerUnit,,Consumer Unit Indicator,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
isTradeItemADespatchUnit,,Shipping Unit Indicator,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
isTradeItemAnOrderableUnit,,Orderable Unit Indicator,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
tradeItemUnitDescriptorCode,,Product Hierarchy Level Code,,TradeItemUnitDescriptorCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
gtin,,GTIN (Global Trade Item Number),,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
additionalTradeItemIdentification,,Additional Product Identification,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
additionalTradeItemIdentification/@additionalTradeItemIdentificationTypeCode,,Additional Product Identification Type Code,,AdditionalTradeItemIdentificationTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
gln,,Brand Owner GLN (Global Location Number),,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
partyName,,Brand Owner Name,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
targetMarketCountryCode,,Country Of Sale Code,,Refer to GDD - CountryCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
referencedTradeItemTypeCode,,Referenced GTIN Type Code,,ReferencedTradeItemTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
contactAddress,,Contact Address,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
contactName,,Contact,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
contactTypeCode,,Contact Type Code,,ContactTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
communicationChannelCode,,Contact Method Code,,CommunicationChannelCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
communicationValue,,Contact Details,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
effectiveDateTime,,Product Information Effective Date/Time,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
gpcCategoryCode,,Global Product Category Code,,Refer to GPC standard [https://www.gs1.org/standards/gpc],,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
quantityOfChildren,,Number of Different Products,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
totalQuantityOfNextLowerLevelTradeItem,,Total Count of All Products,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
quantityOfNextLowerLevelTradeItem,,Count of Each Specific Product,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
animalNutrientTypeCode,,Animal Nutrient Code,,Refer to GDD - NutrientTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
animalNutrientExactPercentage,,Animal Nutrient Target Percentage,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
animalNutrientMaximumPercentage,,Animal Nutrient Maximum Percentage,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
animalNutrientMinimumPercentage,,Animal Nutrient Minimum Percentage,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
animalNutrientQuantityContained,,Animal Nutrient Quantity,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
sunProtectionFactor,,Sun Protection Factor (SPF),,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
percentageOfAlcoholByVolume,,Alcohol Percentage,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
vintage,,Vintage,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
allergenStatement,,Allergen Statement,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
isAllergenRelevantDataProvided,,Allergen Declarations Indicator,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
allergenTypeCode,,Allergen Type Code,,Refer to GDD - AllergenTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
levelOfContainmentCode,,Allergen Containment Code,,Refer to GDD - LevelOfContainmentCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
animalNutritionalClaim,,Nutritional/Health Claim Description,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
feedType,,Pet Food or Animal Feed Type Code,,Refer to GDD - FeedTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
targetedConsumptionBy,,Animal Feed Designed For Code,,Refer to GDD - TargetedConsumptionByCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
feedLifestage,,Animal Feed Target Life Stage,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
maximumWeightOfAnimalBeingFed,,Maximum Weight Of Animal Being Fed,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
minimumWeightOfAnimalBeingFed,,Minimum Weight Of Animal Being Fed,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
feedingAmount,,Feeding Amount,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
