Associated GDM Global/Regional Attribute,Unnamed: 1,"Global Data Model Code Lists and Values
The code values that are included in the GDM serve as a guide identifying the most commonly used codes. For all available codelists, please refer to the GS1 Global Data Dictionary [http://apps.gs1.org/GDD/Pages/clHome.aspx].",Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Number of markets using the attribute,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Global/Regional Usage,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Netherlands,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Finland,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Sweden,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Denmark,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Australia,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,New Zealand,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,UK,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Czech Republic,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,France,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Germany,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,US,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Canada,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Belgium & Luxembourg,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Colombia,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Change Information,Unnamed: 108,Unnamed: 109,Unnamed: 110
Attribute BMS  ID,Attribute Business Name,BMS CodeList ID,Code List,Code Value,Code Name,Definition,"Used in any category
(max 14)","Used in any category AUNZ
(max 2)","Used in any category EU
(max 9)","Used in any category NoAm
(max 2)",Used in any category Other Country (max 1),FMCG Food,FMCG Near Food,FMCG Pet Food,FMCG Alcoholic Beverages,FMCG Tobacco,FMCG Food,FMCG Near Food,FMCG Pet Food,FMCG Alcoholic Beverages,FMCG Tobacco,Used in Netherlands,FMCG Food,FMCG Near Food,FMCG Pet Food,FMCG Alcoholic Beverages,FMCG Tobacco,Used in Finland,FMCG Food,FMCG Near Food,FMCG Pet Food,FMCG Alcoholic Beverages,FMCG Tobacco,Used in Sweden,FMCG Food,FMCG Near Food,FMCG Pet Food,FMCG Alcoholic Beverages,FMCG Tobacco,Used in Denmark,FMCG Food,FMCG Near Food,FMCG Pet Food,FMCG Alcoholic Beverages,FMCG Tobacco,Used in Australia,FMCG Food,FMCG Near Food,FMCG Pet Food,FMCG Alcoholic Beverages,FMCG Tobacco,Used in New Zealand,FMCG Food,FMCG Near Food,FMCG Pet Food,FMCG Alcoholic Beverages,FMCG Tobacco,Used in UK,FMCG Food,FMCG Near Food,FMCG Pet Food,FMCG Alcoholic Beverages,FMCG Tobacco,Used in Czech,FMCG Food,FMCG Near Food,FMCG Pet Food,FMCG Alcoholic Beverages,FMCG Tobacco,Used in France,FMCG Food,FMCG Near Food,FMCG Pet Food,FMCG Alcoholic Beverages,FMCG Tobacco,Used in Germany,FMCG Food,FMCG Near Food,FMCG Pet Food,FMCG Alcoholic Beverages,FMCG Tobacco,Used in US,FMCG Food,FMCG Near Food,FMCG Pet Food,FMCG Alcoholic Beverages,FMCG Tobacco,Used in Canada,FMCG Food,FMCG Near Food,FMCG Pet Food,FMCG Alcoholic Beverages,FMCG Tobacco,Used in Belgium & Luxembourg,FMCG Food,FMCG Near Food,FMCG Pet Food,FMCG Alcoholic Beverages,FMCG Tobacco,Used in Colombia,FMCG Food,FMCG Near Food,FMCG Pet Food,FMCG Alcoholic Beverages,FMCG Tobacco,Change Type,WR Number,Detailed Change Information,Release Version
69,Additional Product Identification Type Code,12,AdditionalTradeItemIdentificationTypeCode,ADMDM,Agence du Médicament de Madagascar,Agency du Médicament de Madagascar manages the market authorisation of healthcare products in Madagascar - MG,0,0,0,0,0,0,0,0,0,0,Not used,Not used,Not used,Not used,Not used,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,No Data Available,No Data Available,No Data Available,No Data Available,No Data Available,nan,nan,nan,nan
69,Additional Product Identification Type Code,12,AdditionalTradeItemIdentificationTypeCode,AIG,Active Ingredient Number,The Active Ingredient Group Number specifies the a number assigned by Health Canada in the Drug Product Database. The AIG number is a 10 digit number that identifies products that have the same active ingredient(s) and ingredient strength(s).,1,0,1,0,0,1,1,1,1,1,Local,Local,Local,Local,Local,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,True,YES,YES,YES,YES,YES,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,No Data Available,No Data Available,No Data Available,No Data Available,No Data Available,nan,nan,nan,nan
69,Additional Product Identification Type Code,12,AdditionalTradeItemIdentificationTypeCode,ANVISA,National Health Surveillance Agency (ANVISA),National Health Surveillance Agency (ANVISA) manages the market authorisation of healthcare products in Brazil - BR,0,0,0,0,0,0,0,0,0,0,Not used,Not used,Not used,Not used,Not used,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,No Data Available,No Data Available,No Data Available,No Data Available,No Data Available,nan,nan,nan,nan
69,Additional Product Identification Type Code,12,AdditionalTradeItemIdentificationTypeCode,ARFA,Agência de Regulação e Supervisão dos Produtos Farmacêuticos e Alimentares (ARFA),Agência de Regulação e Supervisão dos Produtos Farmacêuticos e Alimentares (ARFA) manages the market authorisation of healthcare products in Cape Verde - CV,0,0,0,0,0,0,0,0,0,0,Not used,Not used,Not used,Not used,Not used,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,No Data Available,No Data Available,No Data Available,No Data Available,No Data Available,nan,nan,nan,nan
69,Additional Product Identification Type Code,12,AdditionalTradeItemIdentificationTypeCode,ARTG_ID,Australian Register of Therapeutic Goods,"The Australian Therapeutic Goods Administration (TGA) is a government organisation responsible for the regulation of therapeutic goods such as medicines and medical devices. Once a product is accepted for sale in Australia (via TGA approval) this item is listed on the Australian Register of Therapeutic Goods (ARTG). All goods within Australia, or to be exported from Australia, must be present on this list before they can be available. Information held in the database includes the name of the product, what it contains and manufacturer details.",1,0,1,0,0,1,1,1,1,1,Local,Local,Local,Local,Local,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,True,YES,YES,YES,YES,YES,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,No Data Available,No Data Available,No Data Available,No Data Available,No Data Available,nan,nan,nan,nan
69,Additional Product Identification Type Code,12,AdditionalTradeItemIdentificationTypeCode,AU_PROSTHESES_REBATE_CODE,Australian Prostheses Rebate Code,"In Australia the federal government, through the Department of Health and Ageing, provide a rebate to private health hospitals or clinics to cover the cost of any prostheses that are fitted to a patient. This rebate is designed to cover the costs incurred by the provider. Every product is given a ‘billing code’ from the Department of Health and Ageing. This is used by the provider to communicate the rebate request to the government.",0,0,0,0,0,0,0,0,0,0,Not used,Not used,Not used,Not used,Not used,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,No Data Available,No Data Available,No Data Available,No Data Available,No Data Available,nan,nan,nan,nan
69,Additional Product Identification Type Code,12,AdditionalTradeItemIdentificationTypeCode,BFR,Number of the German Federal Institute for Risk Assessment (BFR) - Germany,"The Federal Institute for Risk Assessment (BFR - Bundesinstitut für Risikobewertung) in the field of consumer health protection. The BFR number is a so-called product identification element (PI element). The PI element consists of the five-digit BFR company code and a four-digit number allocated by the manufacturer itself. The number sequence ends with details of the hazard characteristics of the product (for instance, irritant, corrosive or toxic).",1,0,1,0,0,0,1,0,0,0,Not used,Local,Not used,Not used,Not used,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,True,NO,YES,NO,NO,NO,False,No Data Available,No Data Available,No Data Available,No Data Available,No Data Available,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,No Data Available,No Data Available,No Data Available,No Data Available,No Data Available,nan,nan,nan,nan
69,Additional Product Identification Type Code,12,AdditionalTradeItemIdentificationTypeCode,BNDA,Bahamas National Drug Agency (BNDA),Bahamas National Drug Agency (BNDA) manages the market authorisation of healthcare products in Bahamas - BS,0,0,0,0,0,0,0,0,0,0,Not used,Not used,Not used,Not used,Not used,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,No Data Available,No Data Available,No Data Available,No Data Available,No Data Available,nan,nan,nan,nan
69,Additional Product Identification Type Code,12,AdditionalTradeItemIdentificationTypeCode,BUYER_ASSIGNED,Buyer Assigned,"A proprietary internal identification number assigned by a data recipient, used to identify trade items purchased from each trading partner with whom they engage in a commercial relationship.",5,1,3,1,0,5,5,4,4,4,Local,Local,Local,Local,Local,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,True,YES,YES,YES,YES,YES,True,YES,YES,YES,YES,YES,True,YES,YES,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,True,YES,YES,YES,YES,YES,True,YES,YES,YES,YES,YES,False,NO,NO,NO,NO,NO,False,NO,NO,NO,NO,NO,False,No Data Available,No Data Available,No Data Available,No Data Available,No Data Available,nan,nan,nan,nan
