Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Change Information,Unnamed: 10,Unnamed: 11,Unnamed: 12
BMS ID of Linked GDM Global/Regional Attribute,GDD Name of Linked GDM Global/Regional Attribute,GDD Name of Technical Attribute,Technical Attribute is Conditional/ Optional,BMS ID,GDD Name,Attribute Definition (GDD),short xPath,GDSN Technical Attribute,Change Type,WR Number,Detailed Change Information,Release Version
66,nan,nan,nan,66,tradeItemUnitDescriptorCode,"Describes the hierarchical level of the trade item. The attribute tradeItemUnitDescriptorCode is mandatory. Examples: ""CASE"", ”PALLET”.",/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemUnitDescriptorCode,NO,nan,nan,nan,nan
68,nan,nan,nan,68,additionalTradeItemIdentification,Alternative means to the Global Trade Item Number to identify a trade item.,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/additionalTradeItemIdentification,NO,nan,nan,nan,nan
115,nan,nan,nan,115,referencedTradeItemTypeCode,"A code depicting the type of trade item that is referenced for a specific purpose for example substitute, replaced by, equivalent trade items.",/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/referencedTradeItem/referencedTradeItemTypeCode,NO,nan,nan,nan,nan
127,nan,nan,nan,127,contactTypeCode,The  general category of the contact party for a trade item for example Purchasing.,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemContactInformation/contactTypeCode,NO,nan,nan,nan,nan
204,nan,nan,nan,204,animalNutrientTypeCode,A code identifying nutrients contained in the animal food or nutrition product.,animalFeedingModule/animalFeeding/animalFeedingDetail/animalNutrientDetail/animalNutrientTypeCode,NO,nan,nan,nan,nan
208,nan,nan,nan,208,animalNutrientQuantityContained,"Measurement value indicating the amount of the nutrient contained in the animal food or nutrition product. It is expressed relative to the animal nutrient quantity contained basis measurement.  For example, 3 grams in the case of 3 grams per 12 kilogram.  Allows for the representation of the same value in different units of measure but not multiple values.",animalFeedingModule/animalFeeding/animalFeedingDetail/animalNutrientDetail/animalNutrientQuantityContained,NO,nan,nan,nan,nan
370,nan,nan,nan,370,allergenStatement,"Textual description of the presence or absence of allergens as governed by local rules and regulations, specified as one string.",allergenInformationModule/allergenRelatedInformation/allergenStatement,NO,nan,nan,nan,nan
375,nan,nan,nan,375,allergenTypeCode,Code indicating the type of allergen.,allergenInformationModule/allergenRelatedInformation/allergen/allergenTypeCode,NO,nan,nan,nan,nan
376,nan,nan,nan,376,levelOfContainmentCode,Code indicating the level of presence of the allergen.,allergenInformationModule/allergenRelatedInformation/allergen/levelOfContainmentCode,NO,nan,nan,nan,nan
386,nan,nan,nan,386,animalNutritionalClaim,Free text field for any additional nutritional claims in relations to animal feed.,animalFeedingModule/animalNutritionalClaim,NO,nan,nan,nan,nan
388,nan,nan,nan,388,feedType,"Type of pet food or feed given to wild or domestic animals in the course of animal husbandry, e.g. feed material, complete feed, complementary feed.",animalFeedingModule/feedType,NO,nan,nan,nan,nan
389,nan,nan,nan,389,targetedConsumptionBy,The type of animal this food is intended to be consumed by.,animalFeedingModule/targetedConsumptionBy,NO,nan,nan,nan,nan
399,nan,nan,nan,399,feedLifestage,Identifies the life-stage of the animal for which a trade item has been designed for example Adult.,animalFeedingModule/animalFeeding/feedLifestage,NO,nan,nan,nan,nan
401,nan,nan,nan,401,maximumWeightOfAnimalBeingFed,The highest weight (in a weight range) of the animal to be fed by the trade item.  This value qualifies the quantity of feed for the feed life-stage.,animalFeedingModule/animalFeeding/maximumWeightOfAnimalBeingFed,NO,nan,nan,nan,nan
403,nan,nan,nan,403,minimumWeightOfAnimalBeingFed,The lowest weight (in a weight range) of the animal to be fed by the trade item.  This value qualifies the quantity of feed for the feed lifestage.,animalFeedingModule/animalFeeding/minimumWeightOfAnimalBeingFed,NO,nan,nan,nan,nan
416,nan,nan,nan,416,feedingAmount,The amount of feed which is specified for the feed life-stage and qualified by the weight of animal being fed.,animalFeedingModule/animalFeeding/animalFeedingDetail/feedingAmount,NO,nan,nan,nan,nan
420,nan,nan,nan,420,maximumFeedingAmount,The maximum amount of feed which is specified for the feed life-stage and qualified by the weight of animal being fed.,animalFeedingModule/animalFeeding/animalFeedingDetail/maximumFeedingAmount,NO,nan,nan,nan,nan
422,nan,nan,nan,422,minimumFeedingAmount,The minimum amount of feed which is specified for the feed life-stage and qualified by the weight of animal being fed.,animalFeedingModule/animalFeeding/animalFeedingDetail/minimumFeedingAmount,NO,nan,nan,nan,nan
424,nan,nan,nan,424,recommendedFrequencyOfFeeding,"How frequently it is recommended to feed an animal the quantity of feed within a time period for the specified feed life-stage. Examples: 2 feedings per day,  maximum 2 chew sticks  and/or 2 portions per day.",animalFeedingModule/animalFeeding/animalFeedingDetail/recommendedFrequencyOfFeeding,NO,nan,nan,nan,nan
613,nan,nan,nan,613,batteryTechnologyTypeCode,"The type of battery family (e.g. Lithium, NiMH) of batteries used by the product.",batteryInformationModule/batteryDetail/batteryTechnologyTypeCode,NO,nan,nan,nan,nan
614,nan,nan,nan,614,batteryTypeCode,"Type of battery required to operate the game. If “Are Batteries Required” or if “Quantity of Batteries"" is populated or if ""Are Batteries Included = “Yes” this attribute is required.",batteryInformationModule/batteryDetail/batteryTypeCode,NO,nan,nan,nan,nan
615,nan,nan,nan,615,batteryWeight,The weight of each battery included with or built into the trade item.,batteryInformationModule/batteryDetail/batteryWeight,NO,nan,nan,nan,nan
789,nan,nan,nan,789,consumerStorageInstructions,"Expresses in text the consumer storage instructions of a product which are normally held on the label or accompanying the product. This information may or may not be labeled on the pack. Instructions may refer to a suggested storage temperature, a specific storage requirement.",consumerInstructionsModule/consumerInstructions/consumerStorageInstructions,NO,nan,nan,nan,nan
791,nan,nan,nan,791,consumerUsageInstructions,"Expresses in text the consumer usage instructions of a product which are normally held on the label or accompanying the product. This information may or may not be labeled on the pack. Instructions may refer to a the how the consumer is to use the product, This does not include storage, food preparations, and drug dosage and preparation instructions.",consumerInstructionsModule/consumerInstructions/consumerUsageInstructions,NO,nan,nan,nan,nan
914,nan,nan,nan,914,catchMethodCode,"The catch method for fish and seafood as specified by FAO, Fisheries and Aquaculture Department of the Food and Agriculture Organization of the United Nations. This required attribute will help the global retail industry to fulfil the EU requirements for a common fisheries policy.",dairyFishMeatPoultryItemModule/dairyFishMeatPoultryInformation/fishReportingInformation/fishCatchInformation/catchMethodCode,NO,nan,nan,nan,nan
